,test_n,p_test,Run,Fraction Dead,Fraction Infected,Fraction Quarantined,Fraction Recovered,hood,density,p_reinf,p_death,p_inf,p_rec
0,0.0,True,0,0.3722,0.0,0.0,0.9997,Moore,0.35,0.01,0.05,0.15,0.1
1,0.0,False,1,0.3671,0.0,0.0,0.9999,Moore,0.35,0.01,0.05,0.15,0.1
2,0.02,True,2,0.3325,0.0,0.0,0.9988,Moore,0.35,0.01,0.05,0.15,0.1
3,0.02,False,3,0.3639,0.0,0.0,0.9997,Moore,0.35,0.01,0.05,0.15,0.1
4,0.05,True,4,0.3183,0.0,0.0,0.9938,Moore,0.35,0.01,0.05,0.15,0.1
5,0.05,False,5,0.3537,0.0,0.0,0.9995,Moore,0.35,0.01,0.05,0.15,0.1
6,0.1,True,6,0.3096,0.0,0.0,0.9826,Moore,0.35,0.01,0.05,0.15,0.1
7,0.1,False,7,0.3322,0.0,0.0,0.998,Moore,0.35,0.01,0.05,0.15,0.1
8,0.15,True,8,0.3032,0.0,0.0,0.9763,Moore,0.35,0.01,0.05,0.15,0.1
9,0.15,False,9,0.3275,0.0,0.0,0.9966,Moore,0.35,0.01,0.05,0.15,0.1
