,p_rec,test_n,density,p_inf,p_test,Run,Fraction Dead,Fraction Infected,Fraction Quarantined,Fraction Recovered,hood,p_reinf,p_death
0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0.0,Moore,0.01,0.02
1,0.0,0.0,0.0,0.0,False,1,0.0,0.0,0.0,0.0,Moore,0.01,0.02
2,0.0,0.0,0.0,0.2,True,2,0.0,0.0,0.0,0.0,Moore,0.01,0.02
3,0.0,0.0,0.0,0.2,False,3,0.0,0.0,0.0,0.0,Moore,0.01,0.02
4,0.0,0.0,0.0,0.4,True,4,0.0,0.0,0.0,0.0,Moore,0.01,0.02
5,0.0,0.0,0.0,0.4,False,5,0.0,0.0,0.0,0.0,Moore,0.01,0.02
6,0.0,0.0,0.0,0.6,True,6,0.0,0.0,0.0,0.0,Moore,0.01,0.02
7,0.0,0.0,0.0,0.6,False,7,0.0,0.0,0.0,0.0,Moore,0.01,0.02
8,0.0,0.0,0.0,0.8,True,8,0.0,0.0,0.0,0.0,Moore,0.01,0.02
9,0.0,0.0,0.0,0.8,False,9,0.0,0.0,0.0,0.0,Moore,0.01,0.02
10,0.0,0.0,0.2,0.0,True,10,0.0,0.0,0.0,0.0,Moore,0.01,0.02
11,0.0,0.0,0.2,0.0,False,11,0.0,0.0,0.0,0.0,Moore,0.01,0.02
12,0.0,0.0,0.2,0.2,True,12,0.0,0.0,0.0,0.0,Moore,0.01,0.02
13,0.0,0.0,0.2,0.2,False,13,0.0,0.0,0.0,0.0,Moore,0.01,0.02
14,0.0,0.0,0.2,0.4,True,14,0.0,0.0,0.0,0.0,Moore,0.01,0.02
15,0.0,0.0,0.2,0.4,False,15,0.0,0.0,0.0,0.0,Moore,0.01,0.02
16,0.0,0.0,0.2,0.6,True,16,0.0,0.0,0.0,0.0,Moore,0.01,0.02
17,0.0,0.0,0.2,0.6,False,17,0.0,0.0,0.0,0.0,Moore,0.01,0.02
18,0.0,0.0,0.2,0.8,True,18,0.0,0.0,0.0,0.0,Moore,0.01,0.02
19,0.0,0.0,0.2,0.8,False,19,0.0,0.0,0.0,0.0,Moore,0.01,0.02
20,0.0,0.0,0.4,0.0,True,20,0.0,0.0,0.0,0.0,Moore,0.01,0.02
21,0.0,0.0,0.4,0.0,False,21,0.0,0.0,0.0,0.0,Moore,0.01,0.02
22,0.0,0.0,0.4,0.2,True,22,0.0,0.0,0.0,0.0,Moore,0.01,0.02
23,0.0,0.0,0.4,0.2,False,23,0.0,0.0,0.0,0.0,Moore,0.01,0.02
24,0.0,0.0,0.4,0.4,True,24,0.0,0.0,0.0,0.0,Moore,0.01,0.02
25,0.0,0.0,0.4,0.4,False,25,0.0,0.0,0.0,0.0,Moore,0.01,0.02
26,0.0,0.0,0.4,0.6,True,26,0.0,0.0,0.0,0.0,Moore,0.01,0.02
27,0.0,0.0,0.4,0.6,False,27,0.0,0.0,0.0,0.0,Moore,0.01,0.02
28,0.0,0.0,0.4,0.8,True,28,0.0,0.0,0.0,0.0,Moore,0.01,0.02
29,0.0,0.0,0.4,0.8,False,29,0.0,0.0,0.0,0.0,Moore,0.01,0.02
30,0.0,0.0,0.6,0.0,True,30,0.0,0.0,0.0,0.0,Moore,0.01,0.02
31,0.0,0.0,0.6,0.0,False,31,0.0,0.0,0.0,0.0,Moore,0.01,0.02
32,0.0,0.0,0.6,0.2,True,32,0.0,0.0,0.0,0.0,Moore,0.01,0.02
33,0.0,0.0,0.6,0.2,False,33,0.0,0.0,0.0,0.0,Moore,0.01,0.02
34,0.0,0.0,0.6,0.4,True,34,0.0,0.0,0.0,0.0,Moore,0.01,0.02
35,0.0,0.0,0.6,0.4,False,35,0.0,0.0,0.0,0.0,Moore,0.01,0.02
36,0.0,0.0,0.6,0.6,True,36,0.0,0.0,0.0,0.0,Moore,0.01,0.02
37,0.0,0.0,0.6,0.6,False,37,0.0,0.0,0.0,0.0,Moore,0.01,0.02
38,0.0,0.0,0.6,0.8,True,38,0.0,0.0,0.0,0.0,Moore,0.01,0.02
39,0.0,0.0,0.6,0.8,False,39,0.0,0.0,0.0,0.0,Moore,0.01,0.02
40,0.0,0.0,0.8,0.0,True,40,0.0,0.0,0.0,0.0,Moore,0.01,0.02
41,0.0,0.0,0.8,0.0,False,41,0.0,0.0,0.0,0.0,Moore,0.01,0.02
42,0.0,0.0,0.8,0.2,True,42,0.0,0.0,0.0,0.0,Moore,0.01,0.02
43,0.0,0.0,0.8,0.2,False,43,0.0,0.0,0.0,0.0,Moore,0.01,0.02
44,0.0,0.0,0.8,0.4,True,44,0.0,0.0,0.0,0.0,Moore,0.01,0.02
45,0.0,0.0,0.8,0.4,False,45,0.0,0.0,0.0,0.0,Moore,0.01,0.02
46,0.0,0.0,0.8,0.6,True,46,0.0,0.0,0.0,0.0,Moore,0.01,0.02
47,0.0,0.0,0.8,0.6,False,47,0.0,0.0,0.0,0.0,Moore,0.01,0.02
48,0.0,0.0,0.8,0.8,True,48,0.0,0.0,0.0,0.0,Moore,0.01,0.02
49,0.0,0.0,0.8,0.8,False,49,0.0,0.0,0.0,0.0,Moore,0.01,0.02
50,0.0,0.2,0.0,0.0,True,50,0.0,0.0,0.0,0.0,Moore,0.01,0.02
51,0.0,0.2,0.0,0.0,False,51,0.0,0.0,0.0,0.0,Moore,0.01,0.02
52,0.0,0.2,0.0,0.2,True,52,0.0,0.0,0.0,0.0,Moore,0.01,0.02
53,0.0,0.2,0.0,0.2,False,53,0.0,0.0,0.0,0.0,Moore,0.01,0.02
54,0.0,0.2,0.0,0.4,True,54,0.0,0.0,0.0,0.0,Moore,0.01,0.02
55,0.0,0.2,0.0,0.4,False,55,0.0,0.0,0.0,0.0,Moore,0.01,0.02
56,0.0,0.2,0.0,0.6,True,56,0.0,0.0,0.0,0.0,Moore,0.01,0.02
57,0.0,0.2,0.0,0.6,False,57,0.0,0.0,0.0,0.0,Moore,0.01,0.02
58,0.0,0.2,0.0,0.8,True,58,0.0,0.0,0.0,0.0,Moore,0.01,0.02
59,0.0,0.2,0.0,0.8,False,59,0.0,0.0,0.0,0.0,Moore,0.01,0.02
60,0.0,0.2,0.2,0.0,True,60,0.0,0.0,0.0,0.0,Moore,0.01,0.02
61,0.0,0.2,0.2,0.0,False,61,0.0,0.0,0.0,0.0,Moore,0.01,0.02
62,0.0,0.2,0.2,0.2,True,62,0.0,0.0,0.0,0.0,Moore,0.01,0.02
63,0.0,0.2,0.2,0.2,False,63,0.0,0.0,0.0,0.0,Moore,0.01,0.02
64,0.0,0.2,0.2,0.4,True,64,0.0,0.0,0.0,0.0,Moore,0.01,0.02
65,0.0,0.2,0.2,0.4,False,65,0.0,0.0,0.0,0.0,Moore,0.01,0.02
66,0.0,0.2,0.2,0.6,True,66,0.0,0.0,0.0,0.0,Moore,0.01,0.02
67,0.0,0.2,0.2,0.6,False,67,0.0,0.0,0.0,0.0,Moore,0.01,0.02
68,0.0,0.2,0.2,0.8,True,68,0.0,0.0,0.0,0.0,Moore,0.01,0.02
69,0.0,0.2,0.2,0.8,False,69,0.0,0.0,0.0,0.0,Moore,0.01,0.02
70,0.0,0.2,0.4,0.0,True,70,0.0,0.0,0.0,0.0,Moore,0.01,0.02
71,0.0,0.2,0.4,0.0,False,71,0.0,0.0,0.0,0.0,Moore,0.01,0.02
72,0.0,0.2,0.4,0.2,True,72,0.0,0.0,0.0,0.0,Moore,0.01,0.02
73,0.0,0.2,0.4,0.2,False,73,0.0,0.0,0.0,0.0,Moore,0.01,0.02
74,0.0,0.2,0.4,0.4,True,74,0.0,0.0,0.0,0.0,Moore,0.01,0.02
75,0.0,0.2,0.4,0.4,False,75,0.0,0.0,0.0,0.0,Moore,0.01,0.02
76,0.0,0.2,0.4,0.6,True,76,0.0,0.0,0.0,0.0,Moore,0.01,0.02
77,0.0,0.2,0.4,0.6,False,77,0.0,0.0,0.0,0.0,Moore,0.01,0.02
78,0.0,0.2,0.4,0.8,True,78,0.0,0.0,0.0,0.0,Moore,0.01,0.02
79,0.0,0.2,0.4,0.8,False,79,0.0,0.0,0.0,0.0,Moore,0.01,0.02
80,0.0,0.2,0.6,0.0,True,80,0.0,0.0,0.0,0.0,Moore,0.01,0.02
81,0.0,0.2,0.6,0.0,False,81,0.0,0.0,0.0,0.0,Moore,0.01,0.02
82,0.0,0.2,0.6,0.2,True,82,0.0,0.0,0.0,0.0,Moore,0.01,0.02
83,0.0,0.2,0.6,0.2,False,83,0.0,0.0,0.0,0.0,Moore,0.01,0.02
84,0.0,0.2,0.6,0.4,True,84,0.0,0.0,0.0,0.0,Moore,0.01,0.02
85,0.0,0.2,0.6,0.4,False,85,0.0,0.0,0.0,0.0,Moore,0.01,0.02
86,0.0,0.2,0.6,0.6,True,86,0.0,0.0,0.0,0.0,Moore,0.01,0.02
87,0.0,0.2,0.6,0.6,False,87,0.0,0.0,0.0,0.0,Moore,0.01,0.02
88,0.0,0.2,0.6,0.8,True,88,0.0,0.0,0.0,0.0,Moore,0.01,0.02
89,0.0,0.2,0.6,0.8,False,89,0.0,0.0,0.0,0.0,Moore,0.01,0.02
90,0.0,0.2,0.8,0.0,True,90,0.0,0.0,0.0,0.0,Moore,0.01,0.02
91,0.0,0.2,0.8,0.0,False,91,0.0,0.0,0.0,0.0,Moore,0.01,0.02
92,0.0,0.2,0.8,0.2,True,92,0.0,0.0,0.0,0.0,Moore,0.01,0.02
93,0.0,0.2,0.8,0.2,False,93,0.0,0.0,0.0,0.0,Moore,0.01,0.02
94,0.0,0.2,0.8,0.4,True,94,0.0,0.0,0.0,0.0,Moore,0.01,0.02
95,0.0,0.2,0.8,0.4,False,95,0.0,0.0,0.0,0.0,Moore,0.01,0.02
96,0.0,0.2,0.8,0.6,True,96,0.0,0.0,0.0,0.0,Moore,0.01,0.02
97,0.0,0.2,0.8,0.6,False,97,0.0,0.0,0.0,0.0,Moore,0.01,0.02
98,0.0,0.2,0.8,0.8,True,98,0.0,0.0,0.0,0.0,Moore,0.01,0.02
99,0.0,0.2,0.8,0.8,False,99,0.0,0.0,0.0,0.0,Moore,0.01,0.02
100,0.0,0.4,0.0,0.0,True,100,0.0,0.0,0.0,0.0,Moore,0.01,0.02
101,0.0,0.4,0.0,0.0,False,101,0.0,0.0,0.0,0.0,Moore,0.01,0.02
102,0.0,0.4,0.0,0.2,True,102,0.0,0.0,0.0,0.0,Moore,0.01,0.02
103,0.0,0.4,0.0,0.2,False,103,0.0,0.0,0.0,0.0,Moore,0.01,0.02
104,0.0,0.4,0.0,0.4,True,104,0.0,0.0,0.0,0.0,Moore,0.01,0.02
105,0.0,0.4,0.0,0.4,False,105,0.0,0.0,0.0,0.0,Moore,0.01,0.02
106,0.0,0.4,0.0,0.6,True,106,0.0,0.0,0.0,0.0,Moore,0.01,0.02
107,0.0,0.4,0.0,0.6,False,107,0.0,0.0,0.0,0.0,Moore,0.01,0.02
108,0.0,0.4,0.0,0.8,True,108,0.0,0.0,0.0,0.0,Moore,0.01,0.02
109,0.0,0.4,0.0,0.8,False,109,0.0,0.0,0.0,0.0,Moore,0.01,0.02
110,0.0,0.4,0.2,0.0,True,110,0.0,0.0,0.0,0.0,Moore,0.01,0.02
111,0.0,0.4,0.2,0.0,False,111,0.0,0.0,0.0,0.0,Moore,0.01,0.02
112,0.0,0.4,0.2,0.2,True,112,0.0,0.0,0.0,0.0,Moore,0.01,0.02
113,0.0,0.4,0.2,0.2,False,113,0.0,0.0,0.0,0.0,Moore,0.01,0.02
114,0.0,0.4,0.2,0.4,True,114,0.0,0.0,0.0,0.0,Moore,0.01,0.02
115,0.0,0.4,0.2,0.4,False,115,0.0,0.0,0.0,0.0,Moore,0.01,0.02
116,0.0,0.4,0.2,0.6,True,116,0.0,0.0,0.0,0.0,Moore,0.01,0.02
117,0.0,0.4,0.2,0.6,False,117,0.0,0.0,0.0,0.0,Moore,0.01,0.02
118,0.0,0.4,0.2,0.8,True,118,0.0,0.0,0.0,0.0,Moore,0.01,0.02
119,0.0,0.4,0.2,0.8,False,119,0.0,0.0,0.0,0.0,Moore,0.01,0.02
120,0.0,0.4,0.4,0.0,True,120,0.0,0.0,0.0,0.0,Moore,0.01,0.02
121,0.0,0.4,0.4,0.0,False,121,0.0,0.0,0.0,0.0,Moore,0.01,0.02
122,0.0,0.4,0.4,0.2,True,122,0.0,0.0,0.0,0.0,Moore,0.01,0.02
123,0.0,0.4,0.4,0.2,False,123,0.0,0.0,0.0,0.0,Moore,0.01,0.02
124,0.0,0.4,0.4,0.4,True,124,0.0,0.0,0.0,0.0,Moore,0.01,0.02
125,0.0,0.4,0.4,0.4,False,125,0.0,0.0,0.0,0.0,Moore,0.01,0.02
126,0.0,0.4,0.4,0.6,True,126,0.0,0.0,0.0,0.0,Moore,0.01,0.02
127,0.0,0.4,0.4,0.6,False,127,0.0,0.0,0.0,0.0,Moore,0.01,0.02
128,0.0,0.4,0.4,0.8,True,128,0.0,0.0,0.0,0.0,Moore,0.01,0.02
129,0.0,0.4,0.4,0.8,False,129,0.0,0.0,0.0,0.0,Moore,0.01,0.02
130,0.0,0.4,0.6,0.0,True,130,0.0,0.0,0.0,0.0,Moore,0.01,0.02
131,0.0,0.4,0.6,0.0,False,131,0.0,0.0,0.0,0.0,Moore,0.01,0.02
132,0.0,0.4,0.6,0.2,True,132,0.0,0.0,0.0,0.0,Moore,0.01,0.02
133,0.0,0.4,0.6,0.2,False,133,0.0,0.0,0.0,0.0,Moore,0.01,0.02
134,0.0,0.4,0.6,0.4,True,134,0.0,0.0,0.0,0.0,Moore,0.01,0.02
135,0.0,0.4,0.6,0.4,False,135,0.0,0.0,0.0,0.0,Moore,0.01,0.02
136,0.0,0.4,0.6,0.6,True,136,0.0,0.0,0.0,0.0,Moore,0.01,0.02
137,0.0,0.4,0.6,0.6,False,137,0.0,0.0,0.0,0.0,Moore,0.01,0.02
138,0.0,0.4,0.6,0.8,True,138,0.0,0.0,0.0,0.0,Moore,0.01,0.02
139,0.0,0.4,0.6,0.8,False,139,0.0,0.0,0.0,0.0,Moore,0.01,0.02
