,test_n,p_test,Run,Fraction Dead,Fraction Infected,Fraction Quarantined,Fraction Recovered,hood,density,p_reinf,p_death,p_inf,p_rec
0,0.0,True,0,0.2557,0.0,0.0,0.9997,Moore,0.5,0.01,0.05,0.15,0.15
1,0.0,False,1,0.2584,0.0,0.0,0.9996,Moore,0.5,0.01,0.05,0.15,0.15
2,0.02,True,2,0.2373,0.0,0.0,0.9978,Moore,0.5,0.01,0.05,0.15,0.15
3,0.02,False,3,0.2543,0.0,0.0,0.9997,Moore,0.5,0.01,0.05,0.15,0.15
4,0.05,True,4,0.239,0.0,0.0,0.9936,Moore,0.5,0.01,0.05,0.15,0.15
5,0.05,False,5,0.2497,0.0,0.0,0.9991,Moore,0.5,0.01,0.05,0.15,0.15
6,0.1,True,6,0.229,0.0,0.0,0.9873,Moore,0.5,0.01,0.05,0.15,0.15
7,0.1,False,7,0.237,0.0,0.0,0.9984,Moore,0.5,0.01,0.05,0.15,0.15
8,0.15,True,8,0.2156,0.0,0.0,0.9746,Moore,0.5,0.01,0.05,0.15,0.15
9,0.15,False,9,0.2342,0.0,0.0,0.9974,Moore,0.5,0.01,0.05,0.15,0.15
